"Atlantischer Nordkaper","Atlantischer Nordkaper"
"Grönlandwal","Grönlandwal"
"Pazifischer Nordkaper","Pazifischer Nordkaper"
"Südkaper","Südkaper"
"Zwergglattwale","Zwergglattwale"
"Zwergglattwal","Zwergglattwal"
"Nördlicher Zwergwal","Nördlicher Zwergwal"
"Südlicher Zwergwal","Südlicher Zwergwal"
"Seiwal","Seiwal"
"Blauwal","Blauwal"
"Finnwal","Finnwal"
"Buckelwal","Buckelwal"
"Beluga","Beluga"
"Narwal","Narwal"
"Gewöhnlicher Schweinswal","Gewöhnlicher Schweinswal"
"Kalifornischer Schweinswal","Kalifornischer Schweinswal"
"Glattschweinswal","Glattschweinswal"
"Brillenschweinswal","Brillenschweinswal"
"Weißflankenschweinswal","Weißflankenschweinswal"
"Rauzahndelfin","Rauzahndelfin"
"Chinesischer Weißer Delfin","Chinesischer Weißer Delfin"
"Weißschnauzendelfin","Weißschnauzendelfin"
"Weißseitendelfin","Weißseitendelfin"
"Schwarzdelfin","Schwarzdelfin"
"Weißstreifendelfin","Weißstreifendelfin"
"Stundenglasdelfin","Stundenglasdelfin"
"Rundkopfdelfin","Rundkopfdelfin"
"Großer Tümmler","Großer Tümmler"
"Ostpazifischer Delfin","Ostpazifischer Delfin"
"Blau-Weißer Delfin","Blau-Weißer Delfin"
"Gemeiner Delfin","Gemeiner Delfin"
"Weißbauchdelfin","Weißbauchdelfin"
"Zwerggrindwal","Zwerggrindwal"
"Kleiner Schwertwal","Kleiner Schwertwal"
"Schwertwal","Schwertwal"
"Gewöhnlicher Grindwal","Gewöhnlicher Grindwal"
"Pottwal","Pottwal"